;INSEE_COM;NOM_COM;SUPERFICIE;POPULATION;CODE_DEPT;NOM_DEPT;CODE_REG;NOM_REG;Code_postal;Nom;Région
1;01127;COURMANGOUX;1502;507;01;AIN;84;AUVERGNE-RHONE-ALPES;1370.0;Ain;Rhône-Alpes
1;01015;ARBIGNIEU;1302;489;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01012;ARANC;2172;311;01;AIN;84;AUVERGNE-RHONE-ALPES;1110.0;Ain;Rhône-Alpes
1;01053;BOURG-EN-BRESSE;2399;40171;01;AIN;84;AUVERGNE-RHONE-ALPES;1000.0;Ain;Rhône-Alpes
1;01403;SERRIERES-DE-BRIORD;861;1302;01;AIN;84;AUVERGNE-RHONE-ALPES;1470.0;Ain;Rhône-Alpes
1;01203;LAIZ;1030;1149;01;AIN;84;AUVERGNE-RHONE-ALPES;1290.0;Ain;Rhône-Alpes
1;01283;OYONNAX;3592;22436;01;AIN;84;AUVERGNE-RHONE-ALPES;1100.0;Ain;Rhône-Alpes
1;01310;PREMEYZEL;763;222;01;AIN;84;AUVERGNE-RHONE-ALPES;1300.0;Ain;Rhône-Alpes
1;01379;SAINT-MAURICE-DE-REMENS;1037;724;01;AIN;84;AUVERGNE-RHONE-ALPES;1500.0;Ain;Rhône-Alpes
1;01293;PEYRIAT;608;174;01;AIN;84;AUVERGNE-RHONE-ALPES;1430.0;Ain;Rhône-Alpes
1;01130;CRAS-SUR-REYSSOUZE;1389;1368;01;AIN;84;AUVERGNE-RHONE-ALPES;1340.0;Ain;Rhône-Alpes
1;01354;SAINT-GENIS-POUILLY;985;9415;01;AIN;84;AUVERGNE-RHONE-ALPES;1630.0;Ain;Rhône-Alpes
1;01129;CRANS;1325;263;01;AIN;84;AUVERGNE-RHONE-ALPES;1320.0;Ain;Rhône-Alpes
1;01348;SAINT-DIDIER-SUR-CHALARONNE;2513;2776;01;AIN;84;AUVERGNE-RHONE-ALPES;1140.0;Ain;Rhône-Alpes
1;01075;CHALEINS;1708;1160;01;AIN;84;AUVERGNE-RHONE-ALPES;1480.0;Ain;Rhône-Alpes
