suffixe
LLE
ILLE
VILLE
EVILLE
NVILLE
RVILLE
UVILLE
TOT
URT
OURT
COURT
ERVILLE
OUVILLE
ETOT
LES
GNY
LLES
LEVILLE
UEVILLE
INVILLE
RES
VAL
NIL
SNIL
ESNIL
MESNIL
ERS
ANVILLE
ONT
IGNY
IERS
MONT
AUVILLE
REVILLE
NCOURT
ECOURT
ONVILLE
TEVILLE
NEVILLE
IERES
ARVILLE
IVILLE
SVILLE
ANCOURT
SEVILLE
DEVILLE
ILLIERS
