suffixe
URT
OURT
COURT
LLE
NCOURT
ERS
LERS
GNY
LLERS
ILLERS
VILLERS
LES
EUX
RES
IGNY
ONT
ICOURT
LLES
NES
LLY
EVILLE
ANCOURT
ERES
MONT
ILLY
IERES
ENCOURT
IES
ECOURT
VAL
CHY
ELLES
NVILLE
UCOURT
IERS
MPS
AMPS
AUCOURT
NEVILLE
INCOURT
IEUX
UIL
EUIL
ISE
INE
ERY
RICOURT
ART
TIGNY
SCOURT
AINE
HES
CHES
EMONT
NNES
ONNE
OLLES
CAMPS
OISY
INVILLE
NIERES
RIEUX
RCOURT
ENNES
ESCOURT
TAINE
NTAINE
ONTAINE
NICOURT
TIERS
GNIES
ERCOURT
AUMONT
MESNIL
ONVILLE
