suffixe
LLE
ILLE
VILLE
EVILLE
LES
RES
LLES
GNY
NVILLE
LLY
ERES
IGNY
RVILLE
ERS
ILLY
IERES
AUX
RAI
UVILLE
ANVILLE
EAUX
ERVILLE
IERS
USSY
OLLES
AUVILLE
INVILLE
ELLES
REVILLE
OVILLE
UEVILLE
ILLIERS
