suffixe
URT
OURT
COURT
IES
HEM
LLE
UES
GHEM
RES
INGHEM
NGHEM
QUES
NES
ILLE
NIES
GNIES
LES
VILLE
NCOURT
ERS
AIN
LLES
EUX
IGNIES
ONT
ICOURT
MONT
HEN
GHEN
NGHEN
ELLES
ECOURT
INGHEN
LERS
CQUES
ERES
IERES
ECQUES
AING
HIN
CHIN
INCOURT
ELE
EELE
VAL
GNY
SIES
EVILLE
ENT
INES
ZEELE
LLERS
LINGHEM
RINGHEM
HIES
CHES
ENCOURT
NNES
ILLERS
EUIL
ERQUE
KERQUE
UCOURT
ERIES
ILLIES
VILLERS
REUIL
RICOURT
EMONT
EZEELE
ESNES
SQUES
ENNES
CHIES
LLIES
RQUES
BECQUE
OUSIES
AUCOURT
IENNES
NIERES
MERIES
ANCOURT
