suffixe
ANS
URT
OURT
COURT
NANS
NEY
LLE
RES
ONT
ERS
INE
MONT
NAY
GNEY
ERES
OIS
REY
IERES
NCOURT
RANS
LANS
AUX
AINE
TTE
ENANS
GNY
LERS
LLERS
ILLERS
VILLERS
TAINE
NNE
SEY
NTAINE
ONTAINE
ELLE
CEY
OUX
IGNEY
NGE
ONCOURT
ANGE
IGNY
LES
EUX
CHAUX
LEY
SIA
DANS
VANS
SANS
NDANS
EMONT
HAUX
OTTE
LLES
SSEY
LLEY
ILLEY
ECOURT
ENAY
VELLE
RNAY
UCOURT
NOIS
SSIA
EVANS
ONDANS
ERANS
MAGNY
LIERES
SIERES
MONDANS
ELLES
LLANS
AUCOURT
LLARS
ILLARS
VILLARS
ESSIA
EVELLE
OUHANS
OUVANS
HENANS
INCOURT
SSIERES
