suffixe
IAC
VEN
LAC
LLAC
ILLAC
NEC
IEN
LLE
NAC
LIN
GAT
EUC
GNE
NAN
EUX
EAU
AIS
EAC
EVEN
ELIN
IEUX
NNEC
GUER
IGNE
NIAC
RIEUX
MEUR
NEAU
ILLE
ESSE
IGNAC
EDERN
