suffixe
EIM
HEIM
SHEIM
WILLER
LER
LLER
ILLER
NHEIM
ACH
ENHEIM
BACH
ORF
DORF
LSHEIM
RSHEIM
OLSHEIM
ERSHEIM
GEN
NGEN
SWILLER
INGEN
ISHEIM
URG
OURG
BOURG
FEN
HOFFEN
IHR
WIHR
SDORF
HWILLER
ZHEIM
USE
OUSE
HOUSE
FFEN
OFFEN
TZHEIM
NDORF
ENDORF
BERG
SENHEIM
ZWILLER
RSDORF
ERSDORF
TENHEIM
TWILLER
ZENHEIM
NBACH
CHWIHR
SCHWIHR
LENHEIM
HAUSEN
LINGEN
BSHEIM
