suffixe
LLE
ILLE
VILLE
URT
OURT
COURT
ING
NCOURT
NVILLE
EVILLE
NGE
ANGE
ONT
MONT
LER
LLER
ILLER
VILLER
ECOURT
ONCOURT
ONVILLE
GNY
OFF
ROFF
INCOURT
TROFF
LING
RES
IGNY
STROFF
ERS
LES
INVILLE
EUX
LLES
EMONT
NIL
ENIL
MENIL
UVILLE
NEY
REY
OIS
LERS
LLERS
ILLERS
VILLERS
ERES
NES
NEVILLE
RVILLE
LEY
RANGE
GNEY
SSE
ACH
IERES
LANGE
TTE
REVILLE
UCOURT
LLY
ILLY
OCOURT
AUX
VAUX
TING
OURG
BOURG
ULLES
AUCOURT
ICOURT
BACH
AINE
AVILLE
NVILLER
EULLES
VIGNY
ACOURT
TIGNY
NECOURT
ANCOURT
SVILLER
ELING
HEVILLE
RECOURT
NTAINE
ESTROFF
MECOURT
GEVILLE
AUVILLE
LEVILLE
EVILLER
EUVILLE
RVILLER
ONTAINE
BECOURT
TVILLER
