suffixe
URT
OURT
COURT
LLE
ILLE
VILLE
GNY
IGNY
RES
ONT
NCOURT
NES
MONT
NAY
ERES
ECOURT
IERES
ICOURT
LES
GES
ILLY
EUX
LLY
ERS
LLES
ANCOURT
EVILLE
NVILLE
NNES
ERY
UIL
EUIL
AUX
ENAY
EMONT
NON
SON
NICOURT
REY
IERS
INCOURT
INES
REUIL
GNE
ELLES
ANNES
ONVILLE
RVILLE
NGES
LIERS
LLIERS
ILLIERS
OYES
VIGNY
ANGES
UCOURT
AUCOURT
RECOURT
LIGNY
RIGNY
UILLY
ONCOURT
URVILLE
RICOURT
NIERES
LEMONT
REMONT
