suftiret
-SUR-MEUSE
-SUR-MOSELLE
-AUX-BOIS
-EN-WOEVRE
-EN-ARGONNE
-SUR-SEILLE
-SOUS-LES-COTES
-EN-BARROIS
-SUR-AIRE
-LE-CHATEAU
-SUR-SAULX
-SUR-NIED
-SUR-CHIERS
-LE-SEC
-LES-HATTONCHATEL
-LES-METZ
-LES-BAINS
-LA-PETITE
-EN-HAYE
-LA-COTE
-SAINT-MARTIN
-AUX-CHENES
