suftiret
-SUR-LOIRE
-SUR-CHER
-EN-BEAUCE
-EN-GATINAIS
-SUR-INDRE
-DE-TOURAINE
-EN-SOLOGNE
-LE-MARCHE
-DES-BOIS
-LES-BOIS
-LES-VILLAGES
-SAINT-MARTIN
-SUR-SAULDRE
-SAINT-GERMAIN
-SUR-EURE
-EN-DROUAIS
-EN-DUNOIS
-LE-ROI
-LA-FORET
-EN-TOURAINE
-EN-VAL
-AUX-BOIS
