suftiret
-LA-FORET
-LE-ROI
-SAINT-GERMAIN
-EN-TOURAINE
-DES-BOIS
-SAINT-MARTIN
-LES-BOIS
-LES-VILLAGES
-SUR-EURE
-EN-DROUAIS
-EN-DUNOIS
-EN-BEAUCE
