suftiret
-MEDOC
-DU-PERIGORD
-SUR-L'ISLE
-LES-BAINS
-SUR-GARONNE
-SUR-LOT
-DE-BLAYE
-D'ARMAGNAC
-D'AGENAIS
-DE-BEARN
-D'EXCIDEUIL
-D'ANS
-DU-BOIS
-DE-BELVES
-D'EYMET
-D'AUBEROCHE
-CHALAIS
-SUR-DORDOGNE
-DE-BUCH
-DE-MEDOC
-CAP-FERRET
-EN-MEDOC
-DE-CASTILLON
-EN-BORN
-SUR-L'ADOUR
-DE-DURAS
