suftiret
-LE-CHATEAU
-LA-PETITE
-LE-SEC
-LA-COTE
-AUX-CHENES
-SAINT-MARTIN
-SUR-MEUSE
-EN-ARGONNE
-EN-WOEVRE
-SOUS-LES-COTES
-EN-BARROIS
-SUR-AIRE
-SUR-SAULX
-AUX-BOIS
-LES-HATTONCHATEL
