suftiret
-AU-BOIS
-EN-CAMBRESIS
-EN-ARTOIS
-CAPPEL
-SUR-CANCHE
-LES-MINES
-EN-GOHELLE
-SUR-ESCAUT
-SUR-SAMBRE
-EN-TERNOIS
