prefixe
CHA
BOU
MAR
LAN
REM
MONT
LE 
LES 
HAR
DOM
MAN
MOR
MOU
VAU
VILL
FRE
HER
CHE
THI
FRA
VAL
BRU
GUE
LA 
REME
BETT
RICHE
METZ
